Index,X (m),Y (m),Z (m),Distance from Origin (m)
225,-0.1897,1.7174,-0.2298,1.7430
226,-1.9870,3.1229,-0.2272,3.7084
227,0.5774,1.6770,-0.2263,1.7880
228,16.6958,1.0858,-0.2255,16.7326
229,2.8974,0.1724,-0.2242,2.9112
230,0.4007,1.5504,-0.2239,1.6169
231,19.6797,-1.7838,-0.2215,19.7617
232,5.2056,-1.0358,-0.2197,5.3122
233,-1.9170,3.7522,-0.2190,4.2192
234,7.9886,1.1538,-0.2137,8.0743
235,7.0225,0.9837,-0.2136,7.0943
236,-3.3162,2.7904,-0.2131,4.3392
237,9.1208,0.4024,-0.2086,9.1320
238,-0.5358,2.0182,-0.2086,2.0985
239,4.8307,-1.0620,-0.2084,4.9504
240,1.4740,0.7832,-0.2083,1.6821
241,-1.7249,2.3495,-0.2061,2.9220
242,11.9271,0.3259,-0.2055,11.9333
243,23.9837,-7.3362,-0.2049,25.0815
244,1.3492,-0.2369,-0.1983,1.3842
245,-9.2901,10.8616,-0.1971,14.2940
246,25.8715,-2.6749,-0.1971,26.0101
247,-0.3823,1.9703,-0.1961,2.0166
248,-2.6201,3.4394,-0.1927,4.3280
249,17.9948,-3.0952,-0.1898,18.2601
250,0.5390,0.9177,-0.1887,1.0809
251,-4.5431,2.2768,-0.1880,5.0852
252,7.3910,-2.6312,-0.1865,7.8476
253,-0.0092,0.8458,-0.1849,0.8658
254,-0.0483,1.1971,-0.1847,1.2122
255,8.6785,-2.1159,-0.1821,8.9346
256,-3.6891,3.4191,-0.1781,5.0330
257,17.5047,-3.6924,-0.1778,17.8908
258,-0.7236,1.6674,-0.1776,1.8263
259,1.6086,-4.8650,-0.1773,5.1271
260,-2.4316,2.9586,-0.1757,3.8336
261,0.4014,-0.5901,-0.1732,0.7344
262,22.9066,-0.8766,-0.1724,22.9240
263,-2.0848,2.6717,-0.1714,3.3932
264,2.2388,-1.5930,-0.1710,2.7530
265,5.6255,-0.4885,-0.1664,5.6492
266,5.8659,-3.6466,-0.1652,6.9090
267,-2.7043,1.7041,-0.1638,3.2006
268,1.7372,-0.0928,-0.1630,1.7473
269,1.8978,-0.3999,-0.1608,1.9461
270,-3.0496,2.1564,-0.1607,3.7385
271,-0.2200,0.4616,-0.1599,0.5358
272,3.3672,-1.3431,-0.1593,3.6287
273,-0.6968,0.5658,-0.1586,0.9115
274,-1.7943,1.5915,-0.1584,2.4037
275,0.2135,-1.1722,-0.1558,1.2016
276,3.3341,-1.0281,-0.1554,3.4925
277,-1.7777,1.2798,-0.1547,2.1959
278,0.5171,-0.1619,-0.1532,0.5631
279,-3.6077,1.6572,-0.1499,3.9730
280,3.7983,0.5217,-0.1497,3.8368
281,-1.5551,1.1393,-0.1495,1.9336
282,-1.0032,0.9107,-0.1472,1.3629
283,0.2265,0.3139,-0.1444,0.4131
284,-2.7334,1.6341,-0.1439,3.1879
285,27.1415,-4.2636,-0.1407,27.4747
286,20.3002,-4.9384,-0.1397,20.8927
287,1.9351,-0.5366,-0.1388,2.0129
288,-8.5633,2.7580,-0.1385,8.9976
289,-2.6683,1.3064,-0.1312,2.9739
290,-12.0401,3.7609,-0.1310,12.6144
291,19.9509,-6.6361,-0.1303,21.0260
292,0.3507,-0.5783,-0.1302,0.6887
293,1.3864,-1.2382,-0.1300,1.8634
294,1.3363,-4.4696,-0.1298,4.6668
295,11.3107,-8.9345,-0.1287,14.4144
296,1.6478,-1.0539,-0.1272,1.9601
297,5.5976,0.0494,-0.1264,5.5993
298,-2.6079,1.2674,-0.1258,2.9023
299,23.0846,-9.5518,-0.1257,24.9831
300,0.2886,-1.7357,-0.1215,1.7638
301,13.9005,-3.0666,-0.1201,14.2352
302,-0.3853,-0.0155,-0.1192,0.4036
303,16.1520,-4.7867,-0.1184,16.8468
304,-5.4587,2.2019,-0.1145,5.8872
305,10.1556,-3.3342,-0.1145,10.6896
306,-0.8363,0.5261,-0.1135,0.9945
307,7.6069,-2.8391,-0.1132,8.1202
308,0.8729,-0.5999,-0.1131,1.0652
309,-0.7866,0.1169,-0.1115,0.8030
310,0.1120,-0.4100,-0.1111,0.4393
311,1.4010,-1.7648,-0.1095,2.2560
312,13.2403,-4.3012,-0.1092,13.9218
313,-3.1778,0.5735,-0.1092,3.2309
314,23.7494,-8.6637,-0.1090,25.2806
315,-1.8130,0.4402,-0.1086,1.8688
316,2.6850,-1.2258,-0.1071,2.9535
317,10.0876,-2.9893,-0.1066,10.5218
318,3.4782,-1.3163,-0.1065,3.7204
319,-0.7506,-1.2003,-0.0995,1.4192
320,-6.2518,2.9177,-0.0984,6.8998
321,-0.4899,-0.3330,-0.0961,0.6001
322,15.3889,-2.5703,-0.0958,15.6024
323,5.4735,-2.4813,-0.0932,6.0104
324,-3.9996,1.3090,-0.0929,4.2094
325,-0.4647,-0.4798,-0.0919,0.6743
326,1.3881,-1.6086,-0.0876,2.1265
327,-3.2794,-3.3753,-0.0863,4.7069
328,-2.4666,0.2602,-0.0854,2.4818
329,14.6604,-8.4437,-0.0836,16.9184
330,20.2491,-5.9917,-0.0833,21.1171
331,-2.1367,0.1535,-0.0805,2.1437
332,-0.2165,-1.2371,-0.0775,1.2583
333,4.7152,-1.2622,-0.0752,4.8818
334,0.9830,-5.3435,-0.0742,5.4336
335,10.1451,-2.6786,-0.0733,10.4931
336,17.1020,-6.0314,-0.0733,18.1346
337,-4.3910,1.4481,-0.0716,4.6242
338,-2.0100,0.0871,-0.0714,2.0132
339,-1.3024,-1.4506,-0.0687,1.9508
340,-4.8878,-0.8938,-0.0651,4.9693
341,-3.8242,0.7691,-0.0643,3.9013
342,4.0091,-2.2869,-0.0640,4.6159
343,2.9840,-1.4534,-0.0633,3.3197
344,-0.3485,-1.2779,-0.0623,1.3260
345,-12.7511,2.3532,-0.0616,12.9666
346,15.8494,-5.1777,-0.0599,16.6738
347,-9.2964,2.6330,-0.0597,9.6623
348,-1.7284,-0.6995,-0.0588,1.8655
349,0.4876,-2.3323,-0.0583,2.3835
350,12.8775,-2.1815,-0.0580,13.0611
351,0.2979,0.7132,-0.0574,0.7751
352,-3.8851,-0.5220,-0.0539,3.9204
353,9.7744,-2.6730,-0.0519,10.1334
354,-9.5714,-1.2035,-0.0506,9.6469
355,9.3633,-1.6166,-0.0505,9.5019
356,17.2736,-8.4789,-0.0496,19.2425
357,-4.1729,-0.1876,-0.0451,4.1773
358,4.5343,-3.9860,-0.0441,6.0374
359,-4.3519,-1.1097,-0.0439,4.4914
360,-6.0503,-0.4064,-0.0436,6.0641
361,-2.9893,-0.6350,-0.0426,3.0563
362,1.2369,-5.0191,-0.0417,5.1694
363,-2.7302,-0.8330,-0.0394,2.8547
364,-1.5710,-2.5785,-0.0383,3.0196
365,-1.8474,-0.5623,-0.0382,1.9315
366,-3.0361,-0.8739,-0.0367,3.1596
367,12.7223,-10.0177,-0.0354,16.1930
368,-2.7360,-2.0092,-0.0340,3.3946
369,1.3629,-3.1061,-0.0328,3.3921
370,-7.8583,0.9165,-0.0268,7.9116
371,16.3125,-6.0951,-0.0266,17.4141
372,0.0745,-6.7019,-0.0253,6.7024
373,-0.8929,-5.2804,-0.0247,5.3554
374,13.4788,-5.1778,-0.0232,14.4391
375,5.9548,-2.9902,-0.0228,6.6634
376,-6.7429,-1.2766,-0.0188,6.8627
377,-3.1851,-1.4568,-0.0166,3.5025
378,8.6593,-5.2818,-0.0149,10.1430
379,13.6759,-4.9074,-0.0145,14.5297
380,-7.7892,0.4660,-0.0119,7.8032
381,2.2461,-3.5846,-0.0108,4.2302
382,7.2248,-3.2714,-0.0100,7.9309
383,-0.0059,-3.1415,-0.0096,3.1415
384,2.7666,-2.8181,-0.0086,3.9491
385,13.6582,-5.5614,-0.0085,14.7471
386,0.3655,-4.4452,-0.0065,4.4602
387,5.2767,-3.5576,-0.0047,6.3639
388,3.5969,-10.3246,-0.0004,10.9332
389,11.1313,-4.4445,0.0005,11.9858
390,15.4710,-12.6542,0.0034,19.9870
391,-3.5650,-1.3052,0.0062,3.7964
392,-8.1726,1.9870,0.0080,8.4107
393,12.2451,-7.4461,0.0098,14.3313
394,-3.3335,-1.0636,0.0098,3.4991
395,10.2434,-11.0334,0.0127,15.0554
396,16.7961,-9.7038,0.0128,19.3978
397,0.8281,-3.3278,0.0134,3.4293
398,12.4790,-5.2918,0.0138,13.5546
399,12.7700,-5.2269,0.0145,13.7983
400,-3.6361,1.1793,0.0181,3.8226
401,2.7002,-6.3562,0.0197,6.9060
402,-5.0784,-3.1255,0.0198,5.9631
403,7.0782,-3.7817,0.0230,8.0251
404,15.0184,-6.4287,0.0236,16.3365
405,1.1918,-4.2415,0.0250,4.4059
406,24.7766,-7.9623,0.0262,26.0245
407,2.6385,-4.9612,0.0277,5.6192
408,5.6482,-3.2327,0.0286,6.5079
409,19.4906,-8.2145,0.0325,21.1510
410,13.4373,-6.0990,0.0350,14.7567
411,11.9339,-6.3614,0.0358,13.5236
412,7.5618,-5.9267,0.0362,9.6077
413,6.1407,-5.4124,0.0380,8.1856
414,13.1838,-7.0309,0.0402,14.9415
415,-0.5268,-5.2667,0.0417,5.2931
416,7.1364,-7.9059,0.0457,10.6505
417,-11.5815,2.9739,0.0494,11.9573
418,5.2817,-8.8663,0.0533,10.3204
419,13.8330,-17.1027,0.0556,21.9968
420,-2.4292,-4.3374,0.0594,4.9717
421,24.0381,-2.4427,0.0607,24.1620
422,-2.6833,-4.4626,0.0608,5.2075
423,12.8289,-7.8521,0.0619,15.0413
424,-0.2048,-7.3547,0.0642,7.3578
425,-3.3169,-4.9915,0.0645,5.9934
426,8.3639,-5.5848,0.0655,10.0573
427,21.0994,14.4509,0.0660,25.5738
428,7.2458,-8.3099,0.0672,11.0255
429,13.9238,-5.7674,0.0678,15.0711
430,2.9617,-3.5280,0.0683,4.6068
431,-3.7436,-5.2453,0.0688,6.4446
432,12.7202,-8.3917,0.0692,15.2390
433,16.1772,-8.8616,0.0699,18.4455
434,-0.5239,-5.7732,0.0700,5.7973
435,8.5347,-11.3627,0.0702,14.2112
436,12.9331,-12.0400,0.0721,17.6700
437,0.1583,-4.2635,0.0725,4.2671
438,17.5831,-11.0547,0.0741,20.7696
439,-8.4487,1.0925,0.0795,8.5194
440,-3.0536,-12.5110,0.0801,12.8785
441,4.1937,-3.4828,0.0827,5.4519
442,7.9734,-21.7942,0.0830,23.2071
443,-5.2952,-3.3528,0.0835,6.2679
444,3.2433,-10.7652,0.0836,11.2434
445,19.3778,-14.8552,0.0842,24.4168
446,13.6830,-9.5821,0.0846,16.7047
447,15.2106,-12.8166,0.0851,19.8906
448,-1.2733,-5.2769,0.0867,5.4290
449,-16.2929,-8.2233,0.0868,18.2507
450,12.9085,-10.4664,0.0872,16.6187
451,-2.9592,-4.9238,0.0884,5.7453
452,-4.8004,-3.9609,0.0884,6.2242
453,13.5129,-10.3204,0.0887,17.0034
454,17.7504,-8.4372,0.0897,19.6538
455,3.1110,-4.1223,0.0899,5.1652
456,-8.4468,-6.1028,0.0912,10.4211
457,11.7488,-8.0586,0.0925,14.2472
458,5.2866,-5.8955,0.0942,7.9192
459,2.0345,-9.7156,0.0952,9.9268
460,-3.5103,-5.1737,0.0952,6.2529
461,1.6280,-4.7346,0.0960,5.0075
462,-3.4209,-4.4690,0.0966,5.6288
463,-1.5283,-8.6603,0.0967,8.7946
464,19.3059,-15.3654,0.0979,24.6743
465,19.3775,-17.1919,0.0980,25.9048
466,22.1749,-10.6452,0.0995,24.5979
467,9.2976,-6.6654,0.0995,11.4404
468,14.1551,-8.2317,0.1001,16.3749
469,6.6375,-15.0149,0.1003,16.4169
470,5.7224,-14.4444,0.1027,15.5369
471,5.3221,-7.4557,0.1027,9.1609
472,-1.2366,-8.1462,0.1032,8.2402
473,-3.2747,-4.1440,0.1038,5.2828
474,-2.0835,-6.4639,0.1058,6.7923
475,-8.4940,-7.9430,0.1073,11.6298
476,9.2477,-6.6874,0.1098,11.4129
477,1.1978,-8.6595,0.1106,8.7426
478,15.0822,-8.9975,0.1111,17.5625
479,9.3538,-9.4723,0.1116,13.3128
480,6.0736,-15.6182,0.1130,16.7580
481,-3.4126,-2.2304,0.1140,4.0784
482,6.1654,-15.2625,0.1157,16.4611
483,15.9829,-20.4484,0.1173,25.9539
484,10.9554,-10.7599,0.1177,15.3561
485,9.5560,-10.5016,0.1177,14.1991
486,12.9242,-9.4659,0.1179,16.0204
487,-4.2930,-6.0908,0.1186,7.4526
488,10.3533,-8.5562,0.1186,13.4318
489,8.9001,-9.7081,0.1190,13.1709
490,5.5268,-7.5235,0.1192,9.3361
491,0.5994,-7.9088,0.1196,7.9324
492,4.9610,13.7279,0.1225,14.5973
493,-2.3356,-5.8341,0.1227,6.2854
494,10.2454,-10.2147,0.1233,14.4681
495,-8.3727,-0.8828,0.1243,8.4201
496,4.0261,-6.7593,0.1249,7.8685
497,6.8035,-3.7257,0.1258,7.7579
498,5.4884,-14.6664,0.1281,15.6602
499,-13.9246,-9.9821,0.1283,17.1334
500,5.1969,-14.1439,0.1285,15.0690
501,8.4483,-17.3782,0.1297,19.3233
502,7.1404,-14.5701,0.1298,16.2262
503,-1.6800,-7.8123,0.1302,7.9919
504,4.7852,-4.1637,0.1312,6.3444
505,7.8851,-16.8789,0.1314,18.6304
506,14.1792,-12.2945,0.1321,18.7676
507,16.7278,-13.8650,0.1333,21.7273
508,18.2964,-6.5742,0.1341,19.4421
509,-4.1712,-6.7291,0.1341,7.9181
510,0.0763,-8.6880,0.1343,8.6894
511,11.8944,-10.2342,0.1352,15.6919
512,11.9550,-15.6367,0.1366,19.6837
513,6.7685,-13.9003,0.1384,15.4612
514,-11.5845,0.8477,0.1390,11.6163
515,1.8972,-6.9827,0.1392,7.2372
516,8.5815,-14.8313,0.1394,17.1356
517,9.1007,-12.7828,0.1395,15.6921
518,1.4560,-10.6238,0.1399,10.7240
519,16.8417,-13.9116,0.1417,21.8448
520,7.6471,-15.2052,0.1419,17.0205
521,-7.3202,-10.2615,0.1436,12.6058
522,5.4465,-15.9010,0.1441,16.8085
523,-8.2809,-7.9361,0.1452,11.4707
524,-4.2069,-4.0679,0.1454,5.8538
525,12.3241,-5.8600,0.1470,13.6472
526,-4.7016,-2.5284,0.1475,5.3404
527,5.4433,-9.7888,0.1479,11.2014
528,6.3155,-12.0542,0.1491,13.6093
529,7.1740,-14.8771,0.1494,16.5172
530,8.1012,-14.5185,0.1509,16.6264
531,9.5212,-13.2648,0.1514,16.3288
532,-4.3897,-22.0601,0.1527,22.4932
533,9.3332,-17.2418,0.1556,19.6065
534,-1.3312,-8.4405,0.1568,8.5463
535,11.9694,-11.0339,0.1576,16.2800
536,6.6054,-11.5560,0.1583,13.3116
537,-4.6025,-1.1529,0.1611,4.7475
538,-4.2128,-8.9168,0.1632,9.8632
539,-11.3874,0.4056,0.1637,11.3958
540,-1.0208,-9.1442,0.1640,9.2025
541,0.1742,-8.3189,0.1652,8.3224
542,3.7394,-10.6256,0.1678,11.2656
543,4.8790,-14.0349,0.1683,14.8597
544,7.3622,-14.9967,0.1690,16.7072
545,2.4994,-10.3227,0.1733,10.6224
546,-10.4737,-6.1492,0.1749,12.1466
547,5.6232,-13.0843,0.1753,14.2426
548,-9.1905,-15.2109,0.1756,17.7726
549,17.5567,-13.1794,0.1763,21.9537
550,-12.4840,-7.2235,0.1764,14.4243
551,6.3494,-14.2934,0.1775,15.6413
552,2.0265,-8.6058,0.1784,8.8429
553,10.8448,-18.8326,0.1815,21.7326
554,11.9943,-20.1643,0.1819,23.4627
555,-10.7425,-4.5186,0.1826,11.6556
556,-7.8758,-5.1612,0.1832,9.4181
557,8.4527,-19.3708,0.1859,21.1355
558,15.2657,-21.4740,0.1870,26.3478
559,8.1130,-14.3403,0.1875,16.4773
560,16.9532,-19.2591,0.1876,25.6585
561,14.9557,-11.1506,0.1877,18.6560
562,0.8736,-9.4017,0.1882,9.4440
563,5.8404,-13.2638,0.1900,14.4939
564,-6.7782,-5.8023,0.1917,8.9246
565,17.3517,-10.7132,0.1918,20.3934
566,-6.2726,-5.2872,0.1922,8.2059
567,0.8338,-9.6390,0.1937,9.6770
568,-2.4302,-7.5317,0.1963,7.9165
569,-11.5735,-17.0877,0.1965,20.6391
570,6.1173,-13.5871,0.1975,14.9020
571,11.0270,-13.1095,0.1978,17.1316
572,-14.1451,-14.6669,0.1984,20.3775
573,-0.0898,-8.1308,0.1985,8.1337
574,5.7853,-12.4634,0.2032,13.7422
575,4.0211,-11.6131,0.2033,12.2912
576,-6.2284,-5.4739,0.2046,8.2945
577,12.3972,-12.7565,0.2061,17.7894
578,-3.0733,-9.5572,0.2065,10.0413
579,9.5614,-16.6448,0.2082,19.1967
580,-9.0880,-20.4291,0.2136,22.3603
581,-12.9749,-13.3574,0.2138,18.6230
582,-1.9531,-11.1606,0.2147,11.3322
583,-4.8617,-6.3955,0.2151,8.0364
584,-0.0691,-1.0027,0.2156,1.0280
585,-11.2341,-4.4059,0.2164,12.0692
586,-10.9391,-7.2118,0.2166,13.1042
587,-14.0631,0.6495,0.2167,14.0798
588,-1.7276,-9.3979,0.2233,9.5580
589,-12.4696,-7.3656,0.2249,14.4843
590,26.5734,-20.6964,0.2274,33.6829
